title,snippet,url,published_date,section,subsection
Hillary Clinton Raised $37 Million in Last 3 Months,"Hillary Clinton’s presidential campaign raised $37 million in the three-month period that ended Dec. 31, bringing her total war chest for use in the Democratic presidential contest to more than $112 million.",https://www.nytimes.com/politics/first-draft/2016/01/01/hillary-clinton-raised-37-million-in-last-3-months/,2016-01-01T19:07:09+0000,U.S.,Politics
How Jeb Bush Hopes to Save His Candidacy,"Rival campaigns seem to be counting him out, but Mr. Bush’s allies have a long-shot plan they hope will win him the Republican nomination.",https://www.nytimes.com/2016/01/02/us/politics/jeb-bush-presidential-campaign.html,2016-01-01T16:35:09+0000,U.S.,Politics
Obama to Consider Executive Actions on Gun Violence,"President Obama will meet with Attorney General Loretta E. Lynch on Monday to discuss what he can do to curb gun violence, sidestepping an entrenched Congress.",https://www.nytimes.com/2016/01/02/us/politics/obama-to-consider-executive-actions-on-gun-violence.html,2016-01-01T16:08:54+0000,U.S.,Politics
U.S. Doesn’t Know How Many Foreign Visitors Overstay Visas,"After two decades of failed attempts to track such visitors, some officials call the visa program a critical national security weakness.",https://www.nytimes.com/2016/01/02/us/politics/us-doesnt-know-how-many-foreign-visitors-overstay-visas.html,2016-01-01T14:38:53+0000,U.S.,Politics
Bernie Sanders Took In $33 Million in Last Quarter,"Senator Bernie Sanders’s presidential campaign took in more than $33 million in the final three months of the 2015, as his wide base of small donors enabled him to raise just $4 million less than his rival Hillary Clinton in their fight for the De...",https://www.nytimes.com/politics/first-draft/2016/01/02/bernie-sanders-raises-33-million-in-last-3-months/,2016-01-02T17:22:13+0000,U.S.,Politics
"For Donald Trump, Lessons From a Brother’s Suffering","Mr. Trump, whose appeal is predicated on an aura of toughness and perpetual success, seldom speaks of his brother Freddy, who died as an alcoholic in 1981 at age 43.",https://www.nytimes.com/2016/01/03/us/politics/for-donald-trump-lessons-from-a-brothers-suffering.html,2016-01-02T16:29:40+0000,U.S.,Politics
"F.D.A. Regulator, Widowed by Cancer, Helps Speed Drug Approval","Dr. Richard Pazdur, the Food and Drug Administration’s oncology chief, says his wife’s ordeal was influential in a change that many had advocated but that critics say erodes safeguards.",https://www.nytimes.com/2016/01/03/us/politics/fda-regulator-widowed-by-cancer-helps-speed-drug-approval.html,2016-01-02T11:06:16+0000,U.S.,Politics
State Focus and Infusion of Funding Buoy Gun Control Advocates,"With tens of millions of dollars in contributions to spend, groups are looking to toughen state and local measures in ways that the Republican-led Congress has rejected on the federal level.",https://www.nytimes.com/2016/01/04/us/politics/state-focus-and-infusion-of-funding-buoy-gun-control-advocates.html,2016-01-03T21:31:13+0000,U.S.,Politics
‘Dark’ Funds May Bode Ill in 2016 Election,"Contributions to entities that are not required to disclose their donors topped more than $300 million in the 2012 presidential race, and some experts believe that the levels may be far higher this time.",https://www.nytimes.com/2016/01/04/us/politics/dark-funds-may-bode-ill-in-2016-election.html,2016-01-03T20:17:39+0000,U.S.,Politics
G.O.P. Candidates Warn of Obama’s Actions on Guns,The Republican presidential candidates hoping to succeed President Obama are accusing him of abusing power through executive orders on guns and promising to reverse such measures if elected.,https://www.nytimes.com/politics/first-draft/2016/01/03/christie-bush-trump-fiorina-warn-of-obamas-actions-on-guns/,2016-01-03T18:09:11+0000,U.S.,Politics
"Bernie Sanders, Needing Early Lift, Builds Iowa Ground Operation","His campaign has assembled an extensive effort for the crucial Feb. 1 caucuses, with 100 paid staff members and volunteer leaders.",https://www.nytimes.com/2016/01/04/us/politics/bernie-sanders-needing-early-lift-builds-iowa-ground-operation.html,2016-01-03T15:43:00+0000,U.S.,Politics
Donald Trump Shrugs Off Appearance in Terrorist Video,Donald J. Trump said there was little he could do about his appearance in a recruitment video that was posted by the terrorist group Shabab.,https://www.nytimes.com/politics/first-draft/2016/01/02/donald-trump-shrugs-off-appearance-in-terrorist-video/,2016-01-03T03:54:56+0000,U.S.,Politics
"Ted Cruz’s Iowa Bus Tour: A Daughter’s Tantrum, and a Lesson","Senator Ted Cruz recalled a tantrum from his then-three-year-old daughter Caroline, and used it as an allegory for America.",https://www.nytimes.com/politics/first-draft/2016/01/04/ted-cruzs-iowa-bus-tour-a-daughters-tantrum-and-a-lesson/,2016-01-04T23:56:32+0000,U.S.,Politics
Bipartisan Criminal Justice Overhaul Is Haunted by Willie Horton,The 1988 presidential campaign that saw the furlough of a Massachusetts inmate has helped stall legislation that has support from both parties.,https://www.nytimes.com/2016/01/05/us/politics/bipartisan-criminal-justice-overhaul-is-haunted-by-willie-horton.html,2016-01-04T23:55:53+0000,U.S.,Politics
"Donald Trump Finally Buys TV Ads, and Lots of Them","Donald J. Trump had promised to spend at least $2 million a week on advertising, and he has already reserved nearly that much through Jan. 12.",https://www.nytimes.com/politics/first-draft/2016/01/04/donald-trump-finally-takes-out-his-checkbook-for-tv-ad-buys/,2016-01-04T23:38:54+0000,U.S.,Politics
"Jim McDermott, Democrat of Washington, Won’t Seek Re-election to the House","Mr. McDermott, one of the most liberal members of the House and a senior member of the Ways and Means Committee, announced he would retire at the end of his 14th term this year.",https://www.nytimes.com/politics/first-draft/2016/01/04/jim-mcdermott-democrat-of-washington-wont-seek-re-election-to-the-house/,2016-01-04T22:47:27+0000,U.S.,Politics
Verbatim: Hillary Clinton Won’t Respond to Donald Trump’s ‘Alternate Reality’,Hillary Clinton says she won’t respond to Donald J. Trump’s “alternate reality.”,https://www.nytimes.com/politics/first-draft/2016/01/04/verbatim-hillary-clinton-wont-respond-to-donald-trumps-alternate-reality/,2016-01-04T22:21:59+0000,U.S.,Politics
Ted Cruz’s Iowa Bus Tour: Billybob’s Beef Brisket and the N.S.A.,"Ted Cruz’s microphone went out during his second stop on his Iowa bus tour, and President Obama and the National Security Agency took the blame.",https://www.nytimes.com/politics/first-draft/2016/01/04/ted-cruzs-iowa-bus-tour-billybobs-beef-brisket-and-the-n-s-a/,2016-01-04T21:53:28+0000,U.S.,Politics
Hillary Clinton Tells Democrats in Iowa: ‘I Need You’,"At the start of a two-day tour of the state, Hillary Clinton said she would seek to improve the Affordable Care Act and backed the president’s proposed executive action on gun control.",https://www.nytimes.com/politics/first-draft/2016/01/04/hillary-clinton-tells-democrats-in-iowa-i-need-you/,2016-01-04T21:38:24+0000,U.S.,Politics
Obama to Expand Gun Background Checks and Tighten Enforcement,President Obama’s executive actions on guns will stop short of the kind of large-scale changes that he unsuccessfully sought from Congress three years ago.,https://www.nytimes.com/2016/01/05/us/politics/obama-says-he-will-act-on-gun-control-in-coming-days.html,2016-01-04T21:28:28+0000,U.S.,Politics
Ted Cruz’s Iowa Bus Tour: Making a Favorite Joke in Boone,Stop No.1 on Ted Cruz’s 28-town swing of Iowa features a favorite joke.,https://www.nytimes.com/politics/first-draft/2016/01/04/ted-cruzs-iowa-bus-tour-a-favorite-joke-in-boone/,2016-01-04T20:01:21+0000,U.S.,Politics
"Donald Trump, in First Ad, Plays to Fears on Immigration and ISIS","Shrouded in darkness, the ad trumpets Mr. Trump’s call to bar Muslims from entering the United States and promises a wall on the Mexican border.",https://www.nytimes.com/2016/01/05/us/politics/in-first-ad-donald-trump-plays-to-fears-on-immigration-and-isis.html,2016-01-04T19:39:15+0000,U.S.,Politics
First Draft Focus: In the Swing of Things,"Hillary Clinton held a town-hall-style meeting in Sioux City, Iowa, on Tuesday, the second day of a two-day swing through the state before the Iowa caucuses on Feb. 1.",https://www.nytimes.com/politics/first-draft/2016/01/05/first-draft-focus-in-the-swing-of-things/,2016-01-05T23:20:16+0000,U.S.,Politics
Bernie Sanders Attacks Hillary Clinton Over Regulating Wall Street,The senator said that his rival was too cozy with the financial industry and that his regulatory proposals were bigger and bolder.,https://www.nytimes.com/2016/01/06/us/politics/bernie-sanders-attacks-hillary-clinton-over-regulating-wall-street.html,2016-01-05T23:01:30+0000,U.S.,Politics
Ted Cruz’s Iowa Bus Tour: A Fawning Joke for a Key Supporter,"Ted Cruz indirectly links one of his most prominent supporters to Superman, through pajamas.",https://www.nytimes.com/politics/first-draft/2016/01/05/ted-cruzs-iowa-bus-tour-a-fawning-joke-for-a-key-supporter/,2016-01-05T22:47:55+0000,U.S.,Politics
"Steve Israel of New York, a Top House Democrat, Won’t Seek Re-election","Representative Israel, an eight-term member, has been a close adviser to Nancy Pelosi and led the party’s campaign efforts in 2012 and 2014.",https://www.nytimes.com/2016/01/06/us/politics/steve-israel-house-democrat-new-york.html,2016-01-05T21:50:30+0000,U.S.,Politics
Group Backing Marco Rubio Unleashes Ads Attacking Chris Christie,"In one ad, the political action committee accuses Mr. Christie, his emerging rival, for being a liberal who is too friendly with President Obama.",https://www.nytimes.com/2016/01/06/us/politics/group-backing-marco-rubio-unleashes-ads-attacking-chris-christie.html,2016-01-05T20:29:44+0000,U.S.,Politics
Ted Cruz’s Iowa Bus Tour: A Blind Man Walks Into a Library …,"Ted Cruz finds a supporter with a sense of history, and humor.",https://www.nytimes.com/politics/first-draft/2016/01/05/ted-cruzs-iowa-bus-tour-a-blind-man-walks-into-a-library/,2016-01-05T19:29:21+0000,U.S.,Politics
Obama on Newtown and Gun Control,"Shedding tears over the 2012 deaths of children in a Newtown, Conn., elementary school, the president announced executive actions he will take on gun laws.",https://www.nytimes.com/video/us/politics/100000004126096/president-obama-speaks-on-gun-control.html,2016-01-05T18:56:56+0000,U.S.,Politics
Chris Christie Differentiates Black Lives Matter From 1960s Unrest,"Gov. Chris Christie, who typically trumpets his law-and-order credentials as a former federal prosecutor to prove his toughness to voters, used unusually soft language and conveyed empathy as he dealt with a question about the Black Lives Matter m...",https://www.nytimes.com/politics/first-draft/2016/01/05/chris-christie-differentiates-black-lives-matter-from-1960s-unrest/,2016-01-05T17:08:40+0000,U.S.,Politics
Republican Candidates Tread Carefully to Oregon Protest Standoff,"The Republican Party is one that espouses the virtues of limited government, but this year’s group of presidential candidates is treading carefully as a standoff between authorities and armed antigovernment protesters in Oregon drags on.",https://www.nytimes.com/politics/first-draft/2016/01/05/republican-candidates-tread-carefully-to-oregon-protest-standoff/,2016-01-05T16:49:26+0000,U.S.,Politics
Obama’s Action on Guns: What It Means for Background Checks,The president’s action clarifies existing rules on the sale of firearms and includes efforts to link mental health records with criminal background checks.,https://www.nytimes.com/2016/01/06/us/politics/guns-president-obama-executive-action-background-checks.html,2016-01-05T16:33:07+0000,U.S.,Politics
U.S. Sends Two Guantánamo Detainees to Ghana,The transfer of the two Yemenis represented the first time that lower-level detainees had been resettled in sub-Saharan Africa.,https://www.nytimes.com/2016/01/07/us/politics/us-sends-twoguantanamo-detainees-to-ghana.html,2016-01-06T23:49:39+0000,U.S.,Politics
"Ted Cruz’s Iowa Bus Tour: Loaded Pizza, and Loaded Guns","Mr. Cruz visited a Godfather’s Pizza in Spirit Lake and, when asked about gun rights, recounted a tale of a woman who had been pulled over while carrying a derringer in her boot.",https://www.nytimes.com/politics/first-draft/2016/01/06/ted-cruzs-iowa-bus-tour-loaded-pizza-and-loaded-guns/,2016-01-06T23:09:02+0000,U.S.,Politics
House Votes to Send Bill to Repeal Health Law to Obama’s Desk,"The House voted for the 62nd time to repeal the Affordable Care Act, in effect forcing a rare veto from the president to protect his signature domestic achievement.",https://www.nytimes.com/2016/01/07/us/politics/house-votes-to-send-bill-to-repeal-health-law-to-obamas-desk.html,2016-01-06T23:05:10+0000,U.S.,Politics
"Ted Cruz’s Iowa Bus Tour: Coffee, Cookies and a Song","In Sibley, Iowa, Ted Cruz lampooned the anodyne “issues” pages populating most candidates’ websites.",https://www.nytimes.com/politics/first-draft/2016/01/06/ted-cruzs-iowa-bus-tour-coffee-cookies-and-a-song/,2016-01-06T20:28:19+0000,U.S.,Politics
Paul Ryan Acts to Repeal Obamacare,House speaker Paul D. Ryan announced on Wednesday that a bill to repeal the Affordable Care Act had passed both houses of Congress. President Obama is all but guaranteed to veto it.,https://www.nytimes.com/video/us/politics/100000004128176/paul-ryan-announces-obamacare-repeal-act.html,2016-01-06T19:56:53+0000,U.S.,Politics
Ted Cruz’s Iowa Bus Tour: The ‘Crazy Nutcase’ With the Nuclear Bomb,"Ted Cruz, reacting to North Korea’s claim that it tested a hydrogen bomb, offered his appraisal of the country’s leader, Kim Jong-un, calling him a “crazy nutcase.”",https://www.nytimes.com/politics/first-draft/2016/01/06/ted-cruzs-iowa-bus-tour-the-crazy-nutcase-with-the-nuclear-bomb/,2016-01-06T18:59:34+0000,U.S.,Politics
Chris Christie Taking High Road in Ad Responding to Marco Rubio,"Much as he has done in the debates, Mr. Christie tries in his new ad to draw a contrast not with his Republican presidential rivals, but with Hillary Clinton.",https://www.nytimes.com/2016/01/07/us/politics/new-hampshire-republican-primary.html,2016-01-06T16:53:35+0000,U.S.,Politics
Donald Trump Keeps Pushing Ted Cruz Citizenship Issue,"Donald J. Trump continued to fan the flames of doubt over Senator Ted Cruz’s citizenship, suggesting that the Texas senator’s Canadian roots might be a problem if he won the Republican presidential nomination.",https://www.nytimes.com/politics/first-draft/2016/01/06/donald-trump-keeps-dwelling-on-ted-cruz-citizenship-issue/,2016-01-06T13:55:13+0000,U.S.,Politics
"A Day of Policy, Dropped Guards and Rancor","In a campaign that has been overshadowed and altered by Donald J. Trump, the debate has focused heavily on immigration and on a general disgust with Washington. But Tuesday was a rare day that was thick with policy substance and increased tensions...",https://www.nytimes.com/politics/first-draft/2016/01/06/a-day-of-policy-dropped-guards-and-rancor/,2016-01-06T12:00:59+0000,U.S.,Politics
Avoiding the Dreaded ‘Second-Term Curse’,Political observers say that President Obama appears to have avoided the pitfalls that often undermine a second presidential term.,https://www.nytimes.com/2016/01/06/us/politics/avoiding-the-dreaded-second-term-curse.html,2016-01-06T11:47:18+0000,U.S.,Politics
An Ice Cream Mogul and His Fellow Burlingtonians React to a Trump Rally,"In a liberal enclave fiercely loyal to Bernie Sanders, Burlington’s former mayor, residents were amazed and perplexed by Donald J. Trump’s planned rally on Thursday night.",https://www.nytimes.com/politics/first-draft/2016/01/07/an-ice-cream-mogul-and-his-fellow-burlingtonians-react-to-a-trump-rally/,2016-01-07T23:04:26+0000,U.S.,Politics
"Bill Clinton, Back in Iowa, Refuses to Respond to Donald Trump","Bill Clinton returned to the campaign trail in Iowa, where he shied away from questions about Donald J. Trump but embraced topics like renewable energy and confronting allergies.",https://www.nytimes.com/politics/first-draft/2016/01/07/bill-clinton-back-in-iowa-refuses-to-respond-to-donald-trump/,2016-01-07T22:49:18+0000,U.S.,Politics
Donald Trump Brings Gridlock to Vermont,"Donald J. Trump brought gridlock to Burlington, Vt., as the police braced for an overflow of thousands of political activists who were certain to be shut out from the candidate’s rally.",https://www.nytimes.com/politics/first-draft/2016/01/07/donald-trump-brings-gridlock-to-vermont/,2016-01-07T22:23:31+0000,U.S.,Politics
Ad Wars of 2016 Campaign Erupt in a Changing TV Arena,Candidates and the outside groups supporting them are betting that television ads will remain a crucial political battlefield when signs increasingly suggest otherwise.,https://www.nytimes.com/2016/01/08/us/politics/ad-wars-of-2016-campaign-erupt-in-a-changing-tv-arena.html,2016-01-07T22:13:10+0000,U.S.,Politics
Ted Cruz’s Iowa Bus Tour: Using ‘Star Wars’ to Knock the Democrats,Ted Cruz said that the new “Star Wars” movie was “much more realistic and down-to-earth than whatever the Democrats were talking about” at their last debate.,https://www.nytimes.com/politics/first-draft/2016/01/07/ted-cruzs-iowa-bus-tour-using-star-wars-to-knock-the-democrats/,2016-01-07T21:56:16+0000,U.S.,Politics
Crowd Gathers to Greet Donald Trump in Bernie Sanders Territory,"A crowd of Trump supporters, hecklers and curious observers braved freezing temperatures to get a glimpse of the Republican presidential candidate who dared to set foot upon the traditionally liberal turf of Bernie Sanders.",https://www.nytimes.com/politics/first-draft/2016/01/07/crowd-gathers-to-greet-donald-trump-in-bernie-sanders-territory/,2016-01-07T20:03:50+0000,U.S.,Politics
Ted Cruz’s Iowa Bus Tour: A Momentary Scare,"At a Pizza Ranch in Pocahontas, Iowa, Ted Cruz expressed gratitude about the size of his family, and checked on a woman who briefly fainted, reportedly at the sound of a Democrat’s name.",https://www.nytimes.com/politics/first-draft/2016/01/07/ted-cruzs-iowa-bus-tour-a-momentary-scare/,2016-01-07T19:54:37+0000,U.S.,Politics
"Planned Parenthood, in Its First Primary Endorsement, Backs Hillary Clinton",Planned Parenthood said that it would endorse Hillary Clinton — its first endorsement in a presidential primary in the nonprofit’s 100-year existence.,https://www.nytimes.com/politics/first-draft/2016/01/07/planned-parenthood-in-its-first-primary-endorsement-backs-hillary-clinton/,2016-01-07T19:42:24+0000,U.S.,Politics
Marco Rubio Reacts to Those Boots That Were Made for Talking,Senator Marco Rubio of Florida seemed both disgusted and amused by the worldwide attention that have bee given to his sleek high-heel boots.,https://www.nytimes.com/politics/first-draft/2016/01/07/marco-rubio-reacts-to-those-boots-that-were-made-for-talking/,2016-01-07T18:53:49+0000,U.S.,Politics
Marco Rubio Aims New TV Ad at Iowa’s Evangelical Voters,"Senator Marco Rubio of Florida, a Roman Catholic, addresses his faith in the ad as he tries to slow the momentum of Senator Ted Cruz in Iowa.",https://www.nytimes.com/2016/01/08/us/politics/marco-rubio-aims-new-tv-ad-at-iowas-evangelical-voters.html,2016-01-07T17:39:23+0000,U.S.,Politics
"Chelsea Clinton, Again Her Mother’s Surrogate, Takes Up the Fight Against Bernie Sanders","In returning to the presidential campaign trail for the first time since 2008, Chelsea Clinton focused on motherhood and attacked Senator Bernie Sanders over his health care and education proposals.",https://www.nytimes.com/politics/first-draft/2016/01/12/chelsea-clinton-again-her-mothers-surrogate-takes-up-the-fight-against-bernie-sanders/,2016-01-12T23:46:42+0000,U.S.,Politics
